District Name,Average Daily Attendance,Avg. Salary 2014-15,% Change Since 2008
Tulare City Elementary,9169,74828,9.4
Tulare Joint Union High,4977,71694,9.2
Visalia Unified,26680,67321,4.2
Waukena Joint Union Elementary,246,47830,-2.2
Woodville Union Elementary,468,69413,16.3
Farmersville Unified,2494,67536,8.6
Porterville Unified,13457,75802,9.9
Dinuba Unified,6270,68132,11.1
Jamestown Elementary,313,61953,1.5
Sonora Union High ,1004,66550,1.6
Soulsbyville Elementary,477,62365,6.1
Summerville Union High,449,67611,-8.3
Twain Harte-Long Barn Union Elementary ,262,74281,2.3
Briggs Elementary,540,69524,21.9
Fillmore Unified,3615,67525,8.1
Hueneme Elementary,8183,83746,12.8
Mesa Union Elementary,604,71485,10.1
Mupu Elementary,134,63204,6.4
Ocean View Elementary,2588,70357,10
Ojai Unified,2488,61028,-5.7
Oxnard Elementary,16400,74334,8.7
Oxnard Union High,15235,78948,5.6
Pleasant Valley School,6387,69569,7.3
Rio Elementary,4776,68648,15.7
Santa Clara Elementary,54,50641,-7.3
Simi Valley Unified,17016,68764,5
Somis Union Elementary ,233,63118,10
Ventura Unified,16699,68275,6.9
Conejo Valley Unified,19035,76224,12.3
Oak Park Unified,4543,77089,7.5
Moorpark Unified,6389,70024,10.9
Davis Joint Unified,8245,64865,-2
Washington Unified,7274,63198,15
Winters Joint Unified,1451,67111,15.6
Woodland Joint Unified,9475,63604,7.2
Marysville Joint Unified,8637,66963,8.4
Plumas Lake Elementary,1148,54930,19.7
Wheatland Elementary,1201,75277,5.1
